functional_admit,DASH_functional,DASH_pain,KOS_functional,KOS_pain,LEFS_functional,LEFS_pain,MDQ_functional,MDQ_pain,NDI_functional,NDI_pain
43,-1.535029450543503,0.4709885829539553,1.981327903616309,-0.3259317335967472,1.3673565296495451,-0.560911026647226,-1.1240625038096073,0.8274416916004173,-0.9940250749680574,1.1304989489603334
44,-1.570727809858468,0.4819418058133496,2.027405296723665,-0.3335115413548112,1.3991555187111624,-0.573955469127394,-1.1502034922702955,0.8466845216376362,-1.0171419371766168,1.1567896221919691
45,-1.6064261691734334,0.4928950286727439,2.073482689831021,-0.3410913491128751,1.43095450777278,-0.5869999116075622,-1.1763444807309842,0.8659273516748552,-1.0402587993851764,1.1830802954236048
46,-1.6421245284883983,0.5038482515321382,2.119560082938377,-0.3486711568709389,1.4627534968343971,-0.6000443540877302,-1.2024854691916729,0.8851701817120742,-1.0633756615937358,1.2093709686552403
47,-1.6778228878033636,0.5148014743915326,2.165637476045733,-0.3562509646290028,1.4945524858960144,-0.6130887965678983,-1.2286264576523611,0.9044130117492932,-1.086492523802295,1.2356616418868762
48,-1.713521247118329,0.5257546972509268,2.211714869153089,-0.3638307723870667,1.526351474957632,-0.6261332390480663,-1.2547674461130498,0.9236558417865122,-1.109609386010855,1.2619523151185117
49,-1.749219606433294,0.5367079201103212,2.257792262260445,-0.3714105801451306,1.5581504640192492,-0.6391776815282343,-1.2809084345737385,0.9428986718237312,-1.1327262482194145,1.2882429883501474
50,-1.7849179657482592,0.5476611429697155,2.303869655367801,-0.3789903879031945,1.5899494530808664,-0.6522221240084024,-1.307049423034427,0.9621415018609504,-1.1558431104279736,1.314533661581783
51,-1.8206163250632243,0.5586143658291098,2.349947048475157,-0.3865701956612584,1.6217484421424837,-0.6652665664885704,-1.3331904114951156,0.9813843318981692,-1.1789599726365332,1.3408243348134188
52,-1.8563146843781897,0.5695675886885041,2.396024441582513,-0.3941500034193222,1.6535474312041012,-0.6783110089687385,-1.359331399955804,1.000627161935388,-1.2020768348450923,1.3671150080450545
53,-1.8920130436931548,0.5805208115478984,2.4421018346898693,-0.4017298111773862,1.6853464202657185,-0.6913554514489065,-1.3854723884164926,1.0198699919726073,-1.225193697053652,1.3934056812766902
54,-1.92771140300812,0.5914740344072927,2.488179227797225,-0.4093096189354501,1.7171454093273355,-0.7043998939290745,-1.4116133768771812,1.0391128220098262,-1.2483105592622117,1.419696354508326
55,-1.963409762323085,0.602427257266687,2.534256620904581,-0.416889426693514,1.748944398388953,-0.7174443364092427,-1.4377543653378697,1.0583556520470452,-1.271427421470771,1.4459870277399614
